chart_week|title|performer|peak_pos|wks_on_chart
1973-12-01|Top Of The World|Carpenters|1|9
1973-12-15|The Most Beautiful Girl|Charlie Rich|1|12
1973-12-29|Time In A Bottle|Jim Croce|1|7
1974-01-12|The Joker|The Steve Miller Band|1|13
1974-01-19|Show And Tell|Al Wilson|1|14
1974-01-26|You're Sixteen|Ringo Starr|1|7
1974-02-02|The Way We Were|Barbra Streisand|1|11
1974-02-09|Love's Theme|Love Unlimited Orchestra|1|11
1974-03-02|Seasons In The Sun|Terry Jacks|1|8
1974-03-23|Dark Lady|Cher|1|10
1974-03-30|Sunshine On My Shoulders|John Denver|1|10
1974-04-06|Hooked On A Feeling|Blue Swede|1|8
1974-04-13|Bennie And The Jets|Elton John|1|9
1974-04-20|TSOP (The Sound Of Philadelphia)|MFSB Featuring The Three Degrees|1|8
1974-05-04|The Loco-Motion|Grand Funk|1|9
1974-05-18|The Streak|Ray Stevens|1|6
1974-06-08|Band On The Run|Paul McCartney And Wings|1|8
1974-06-15|Billy, Don't Be A Hero|Bo Donaldson And The Heywoods|1|9
1974-06-29|Sundown|Gordon Lightfoot|1|12
1974-07-06|Rock The Boat|The Hues Corporation|1|7
1974-07-13|Rock Your Baby|George McCrae|1|7
1974-07-27|ANNIE's SONG|John Denver|1|9
1974-08-10|Feel Like Makin' Love|Roberta Flack|1|8
1974-08-17|The Night Chicago Died|Paper Lace|1|10
1974-08-24|(You're) Having My Baby|Paul Anka with Odia Coates|1|8
1974-09-14|I Shot The Sheriff|Eric Clapton|1|10
1974-09-21|Can't Get Enough Of Your Love, Babe|Barry White|1|8
1974-09-28|Rock Me Gently|Andy Kim|1|15
1974-10-05|I Honestly Love You|Olivia Newton-John|1|8
1974-10-19|Nothing From Nothing|Billy Preston|1|15
1974-10-26|Then Came You|Dionne Warwicke & Spinners|1|14
1974-11-02|You Haven't Done Nothin|Stevie Wonder|1|14
1974-11-09|You Ain't Seen Nothing Yet/Free Wheelin'|Bachman-Turner Overdrive|1|8
1974-11-16|Whatever Gets You Thru The Night|John Lennon With The Plastic Ono Nuclear Band|1|8
1974-11-23|I Can Help|Billy Swan|1|9
1974-12-07|Kung Fu Fighting|Carl Douglas|1|9
1974-12-21|Cat's In The Cradle|Harry Chapin|1|12
1974-12-28|Angie Baby|Helen Reddy|1|11
1975-01-04|Lucy In The Sky With Diamonds|Elton John|1|6
1975-01-18|Mandy|Barry Manilow|1|10
1975-01-25|Please Mr. Postman|Carpenters|1|10
1975-02-01|Laughter In The Rain|Neil Sedaka|1|16
1975-02-08|Fire|Ohio Players|1|9
1975-02-15|You're No Good|Linda Ronstadt|1|11
1975-02-22|Pick Up The Pieces|AWB|1|12
1975-03-01|Best Of My Love|Eagles|1|14
1975-03-08|Have You Never Been Mellow|Olivia Newton-John|1|7
1975-03-15|Black Water|The Doobie Brothers|1|13
1975-03-22|My Eyes Adored You|Frankie Valli|1|18
1975-03-29|Lady Marmalade|Labelle|1|13
1975-04-05|Lovin' You|Minnie Riperton|1|12
1975-04-12|Philadelphia Freedom|The Elton John Band|1|6
1975-04-26|(Hey Won't You Play) Another Somebody Done Somebody Wrong Song|B.J. Thomas|1|13
1975-05-03|He Don't Love You (Like I Love You)|Tony Orlando & Dawn|1|8
1975-05-24|Shining Star|Earth, Wind & Fire|1|15
1975-05-31|Before The Next Teardrop Falls|Freddy Fender|1|18
1975-06-07|Thank God I'm A Country Boy|John Denver|1|12
1975-06-14|Sister Golden Hair|America|1|11
1975-06-21|Love Will Keep Us Together|The Captain & Tennille|1|10
1975-07-19|Listen To What The Man Said|Wings|1|8
1975-07-26|The Hustle|Van McCoy & The Soul City Symphony|1|15
1975-08-02|One Of These Nights|Eagles|1|10
1975-08-09|Jive Talkin'|Bee Gees|1|11
1975-08-23|Fallin' In Love|Hamilton, Joe Frank & Reynolds|1|10
1975-08-30|Get Down Tonight|KC And The Sunshine Band|1|8
1975-09-06|Rhinestone Cowboy|Glen Campbell|1|15
1975-09-20|Fame|David Bowie|1|13
1975-09-27|I'm Sorry|John Denver|1|7
1975-10-11|Bad Blood|Neil Sedaka|1|5
1975-11-01|Island Girl|Elton John|1|4
1975-11-22|That's The Way (I Like It)|KC And The Sunshine Band|1|5
1975-11-29|Fly, Robin, Fly|Silver Convention|1|8
1975-12-27|Let's Do It Again|The Staple Singers|1|10
1976-01-03|Saturday Night|Bay City Rollers|1|13
1976-01-10|Convoy|C.W. McCall|1|6
1976-01-17|I Write The Songs|Barry Manilow|1|10
1976-01-24|Theme From Mahogany (Do You Know Where You're Going To)|Diana Ross|1|13
1976-01-31|Love Rollercoaster|Ohio Players|1|12
1976-02-07|50 Ways To Leave Your Lover|Paul Simon|1|8
1976-02-28|Theme From S.W.A.T.|Rhythm Heritage|1|16
1976-03-06|Love Machine (Part 1)|The Miracles|1|20
1976-03-13|December, 1963 (Oh, What a Night)|The 4 Seasons|1|12
1976-04-03|Disco Lady|Johnnie Taylor|1|9
1976-05-01|Let Your Love Flow|Bellamy Brothers|1|14
1976-05-08|Welcome Back|John Sebastian|1|7
1976-05-15|Boogie Fever|The Sylvers|1|14
1976-05-22|Silly Love Songs|Wings|1|7
1976-05-29|Love Hangover|Diana Ross|1|9
1976-07-10|Afternoon Delight|Starland Vocal Band|1|10
1976-07-24|Kiss And Say Goodbye|The Manhattans|1|15
1976-08-07|Don't Go Breaking My Heart|Elton John & Kiki Dee|1|6
1976-09-04|You Should Be Dancing|Bee Gees|1|10
1976-09-11|(Shake, Shake, Shake) Shake Your Booty|KC And The Sunshine Band|1|10
1976-09-18|Play That Funky Music|Wild Cherry|1|14
1976-10-09|A Fifth Of Beethoven|Walter Murphy & The Big Apple Band|1|20
1976-10-16|Disco Duck (Part I)|Rick Dees & His Cast Of Idiots|1|10
1976-10-23|If You Leave Me Now|Chicago|1|11
1976-11-06|Rock'n Me|Steve Miller|1|13
1976-11-13|Tonight's The Night (Gonna Be Alright)|Rod Stewart|1|7
1977-01-08|You Don't Have To Be A Star (To Be In My Show)|Marilyn McCoo & Billy Davis, Jr.|1|18
1977-01-15|You Make Me Feel Like Dancing|Leo Sayer|1|13
1977-01-22|I Wish|Stevie Wonder|1|8
1977-01-29|Car Wash|Rose Royce|1|15
1977-02-05|Torn Between Two Lovers|Mary Macgregor|1|12
1977-02-19|Blinded By The Light|Manfred Mann's Earth Band|1|14
1977-02-26|New Kid In Town|Eagles|1|11
1977-03-12|Evergreen (Love Theme From "A Star Is Born")|Barbra Streisand|1|14
1977-03-26|Rich Girl|Daryl Hall John Oates|1|10
1977-04-09|Dancing Queen|ABBA|1|18
1977-04-16|Don't Give Up On Us|David Soul|1|12
1977-04-23|Don't Leave Me This Way|Thelma Houston|1|19
1977-04-30|Southern Nights|Glen Campbell|1|12
1977-05-07|Hotel California|Eagles|1|11
1977-05-14|When I Need You|Leo Sayer|1|12
1977-05-21|Sir Duke|Stevie Wonder|1|8
1977-06-11|I'm Your Boogie Man|KC And The Sunshine Band|1|16
1977-06-18|Dreams|Fleetwood Mac|1|10
1977-06-25|Got To Give It Up (Pt. I)|Marvin Gaye|1|11
1977-07-02|Gonna Fly Now|Bill Conti|1|11
1977-07-09|Undercover Angel|Alan O'Day|1|15
1977-07-16|Da Doo Ron Ron|Shaun Cassidy|1|10
1977-07-23|Looks Like We Made It|Barry Manilow|1|12
1977-07-30|I Just Want To Be Your Everything|Andy Gibb|1|15
1977-08-20|Best Of My Love|The Emotions|1|11
1977-10-01|Star Wars Theme/Cantina Band|Meco|1|9
1977-10-15|You Light Up My Life|Debby Boone|1|7
1977-12-24|How Deep Is Your Love|Bee Gees|1|14
1978-01-14|Baby Come Back|Player|1|16
1978-02-04|Stayin' Alive|Bee Gees|1|9
1978-03-04|(Love Is) Thicker Than Water|Andy Gibb|1|18
1978-03-18|Night Fever|Bee Gees|1|7
1978-05-13|If I Can't Have You|Yvonne Elliman|1|16
1978-05-20|With A Little Luck|Wings|1|9
1978-06-03|Too Much, Too Little, Too Late|Johnny Mathis/Deniece Williams|1|10
1978-06-10|You're The One That I Want|John Travolta & Olivia Newton-John|1|11
1978-06-17|Shadow Dancing|Andy Gibb|1|10
1978-08-05|Miss You|The Rolling Stones|1|11
1978-08-12|Three Times A Lady|Commodores|1|9
1978-08-26|Grease|Frankie Valli|1|14
1978-09-09|Boogie Oogie Oogie|A Taste Of Honey|1|12
1978-09-30|Kiss You All Over|Exile|1|13
1978-10-28|Hot Child In The City|Nick Gilder|1|21
1978-11-04|You Needed Me|Anne Murray|1|17
1978-11-11|MacArthur Park|Donna Summer|1|10
1978-12-02|You Don't Bring Me Flowers|Barbra Streisand & Neil Diamond|1|6
1978-12-09|Le Freak|Chic|1|7
1979-01-06|Too Much Heaven|Bee Gees|1|8
1979-02-10|Da Ya Think I'm Sexy?|Rod Stewart|1|8
1979-03-10|I Will Survive|Gloria Gaynor|1|13
1979-03-24|Tragedy|Bee Gees|1|7
1979-04-14|What A Fool Believes|The Doobie Brothers|1|13
1979-04-21|Knock On Wood|Amii Stewart|1|13
1979-04-28|Heart Of Glass|Blondie|1|11
1979-05-05|Reunited|Peaches & Herb|1|8
1979-06-02|Hot Stuff|Donna Summer|1|7
1979-06-09|Love You Inside Out|Bee Gees|1|8
1979-06-30|Ring My Bell|Anita Ward|1|8
1979-07-14|Bad Girls|Donna Summer|1|8
